Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
671bbeb5a32a7c735411e946,661a51225587ca83a6f23a5c,APPROVED,Not Applicable,2024-10-25T15:52:29.190000Z,2024-10-25T16:20:07.774000Z,2024-10-31T11:17:12.119000Z,2024-10-25T16:21:11.869754Z,1659,C1DDOZYB,89,27,Male,Other,Turkey,Slovakia,Turkey,Turkish,DATA_EXPIRED,Full-Time
671bbec899f50b6d9be55d39,66928067261ded863ece488a,APPROVED,Not Applicable,2024-10-25T15:52:50.409000Z,2024-10-25T16:32:12.338000Z,2024-10-31T11:17:12.584000Z,2024-10-25T16:32:39.629048Z,2362,C1DDOZYB,65,53,Female,White,South Africa,South Africa,South Africa,English,No,Other
671bc2a87457d291e9571289,66ae2dd6488350b28059766d,APPROVED,Not Applicable,2024-10-25T16:09:19.839000Z,2024-10-25T17:07:26.761000Z,2024-10-31T11:17:12.876000Z,2024-10-25T17:08:41.752010Z,3487,C1DDOZYB,76,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
671bc2a927c1c88099908a3a,6651e121d7e2f992bc6b311c,APPROVED,Not Applicable,2024-10-25T16:11:05.088000Z,2024-10-25T16:34:31.061000Z,2024-10-31T11:17:13.197000Z,2024-10-25T16:34:31.996597Z,1406,C1DDOZYB,107,27,Female,Asian,Philippines,Spain,Philippines,English,No,Full-Time
671bc37a6322c15388b1d724,66cdd5081e9587a0cd369526,APPROVED,Not Applicable,2024-10-25T16:12:48.122000Z,2024-10-25T16:47:48.638000Z,2024-10-31T11:17:13.499000Z,2024-10-25T16:49:46.643399Z,2101,C1DDOZYB,35,28,Female,White,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
671bc382036e98c7956f827e,5dceec6957069f03f4e012a2,APPROVED,Not Applicable,2024-10-25T16:12:50.656000Z,2024-10-25T16:42:37.463000Z,2024-10-31T11:17:13.819000Z,2024-10-25T16:43:18.436522Z,1787,C1DDOZYB,845,32,Male,White,Belgium,Belgium,Belgium,Dutch,No,Full-Time
671bc49f4509b9a624b96ae7,66ce541cd8da920539a1c3cc,APPROVED,Not Applicable,2024-10-25T16:17:35.103000Z,2024-10-25T16:58:10.931000Z,2024-10-31T11:17:14.217000Z,2024-10-25T16:58:23.139413Z,2436,C1DDOZYB,65,20,Male,Black,Morocco,Morocco,Morocco,Arabic,No,Part-Time
671bd0293f2ccf14c72aa568,64e76ad4ce316de314ca559b,APPROVED,Not Applicable,2024-10-25T17:06:55.767000Z,2024-10-25T17:53:39.795000Z,2024-10-31T11:17:14.525000Z,2024-10-25T17:56:19.386538Z,2805,C1DDOZYB,519,50,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
671bd06e86043592965a5b2a,57acc170c6bab4000172a42e,APPROVED,Not Applicable,2024-10-25T17:09:23.276000Z,2024-10-25T17:36:29.796000Z,2024-10-31T11:17:14.808000Z,2024-10-25T17:36:30.323301Z,1627,C1DDOZYB,2009,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
671bd814b8bc31b9b0a3a84a,65cf6d8a589a67afcab54e6f,APPROVED,Not Applicable,2024-10-25T17:42:35.713000Z,2024-10-25T18:07:28.807000Z,2024-10-31T11:17:15.090000Z,2024-10-25T18:07:43.957381Z,1494,C1DDOZYB,344,34,Male,White,Greece,Greece,Greece,Greek,No,Part-Time
