StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,"Prolific ID ",Questionnaire D _1,Questionnaire D _2,Questionnaire D _3,Questionnaire D _4,Questionnaire D _5,Questionnaire D _6,Questionnaire D _7,Questionnaire D _8,Questionnaire D _9,Questionnaire D _10,Questionnaire D _11,Questionnaire D _12,Questionnaire D _13,Questionnaire D _14,Questionnaire D _15,Questionnaire D _16,Questionnaire D _17,PROLIFIC_PID,AttentionCheckStatus
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Information and Consent

 

Dear participant,

 

We invite you to participate in a short questionnaire. Please read the following information carefully. You can then decide whether you would like to participate or not. Allow yourself sufficient time and ask the study staff any questions that are important to you. The study is funded by public money (from the German Research Foundation).

 

Purpose of the questionnaire

This questionnaire is part of a larger project on decision making in social contexts. We may invite you to take part in follow up studies involving experiments after the completion of this survey. 

 

Personal benefit from participating

The results from this study can contribute to learn more about learning and decision making in social and non-social contexts. Therefore, your participation could help future research on this topic.

 

Duration and procedure of the study

This online survey consists of a series of 17  questions that you can answer online. 

 

Unintended effects/risks

We do not expect this questionnaire to cause you any psychological distress. If you suffer from significant distress after completing it, please contact one of the staff or the study management immediately (Jun.-Prof. Dr. C. Korn 06221/56 4363, Klinik für Allgemeine Psychiatrie, Voßstr. 4, 69115 Heidelberg).

The examination can be cancelled at your request at any time without giving reasons.

 

Confidentiality

All data collected during this study will be treated with strict confidentiality. Your responses will be stored securely and analyzed in aggregate form. No personally identifiable information will be linked to your responses. Any information that could potentially identify you will be removed or anonymized.



Voluntary Participation

Participation in this study is completely voluntary. If you decide to participate, you are free to withdraw at any time without providing a reason. Your decision to participate or withdraw will be respected and will have no negative consequences.

 

Compensation

You will receive a financial compensation for a fair estimated time spent on the questionnaire at a rate of 8 euros per hour for participating in this online survey. 



If you have any questions, you can always contact Herrn Jun.-Prof. Dr. phil. Christoph Korn (Tel. 06221/56 4363). We would be grateful for your participation in this research project!

Jun.-Prof. Dr. phil. C. Korn

Head of study

 

By clicking ""I accept"" and continuing with the questionnaire, you confirm that you have read and understood the information provided in this consent form. You freely and voluntarily agree to participate in this study.",What is your Prolific ID? Please note that this response should auto-fill with the correct ID,"Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 1. It is hard for me to see someone suffering.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 2.	 All in all, it is better to be humble and honest than important and dishonest.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 3.	Payback needs to be quick and nasty.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 4. My own pleasure is all that matters.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 5. Hurting people would make me very uncomfortable.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 6. People who mess with me always regret it.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 7. Why should I care about other people, when no one cares about me?","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 8. I cannot imagine how being mean to others could ever be exciting.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 9. Most people deserve respect.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 10. I make a point of trying not to hurt others in pursuit of my goals.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 11. I would like to make some people suffer, even if it meant that I would go to hell with them.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 12. It's wise to keep track of information that you can use against people later.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 13. I avoid humiliating others.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 14. People who get mistreated have usually done something to bring it on themselves.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 15. Please select Neutral as an answer to this question","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 16.  I would be willing to take a punch if it meant that someone I did not like would receive two punches.","Instructions:

Please read each statement and decide how much you agree or disagree with that statement. Note that there are no ""correct"" or ""incorrect"" answers to the statements. Please answer every statement, even if you are not completely sure of your response. If not specified otherwise, the items refer to your behavior (towards others) in general. - 17. I feel sorry if things I do upset people.",PROLIFIC_PID,AttentionCheckStatus
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID18_10""}","{""ImportId"":""QID18_11""}","{""ImportId"":""QID18_12""}","{""ImportId"":""QID18_13""}","{""ImportId"":""QID18_14""}","{""ImportId"":""QID18_15""}","{""ImportId"":""QID18_16""}","{""ImportId"":""QID18_19""}","{""ImportId"":""QID18_17""}","{""ImportId"":""QID18_18""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""AttentionCheckStatus""}"
2024-10-14 16:33:28,2024-10-14 16:33:32,Survey Preview,100,4,True,2024-10-14 16:33:32,R_20m7xfXmriGo9t7,preview,EN-GB,,,,,,,,,,,,,,,,,,,,,
2024-10-14 16:33:37,2024-10-14 16:33:57,Survey Preview,100,20,True,2024-10-14 16:33:57,R_2rmGd4uwELNtxw5,preview,EN-GB,I accept,,,,,,,,,,,,,,,,,,,,
2024-10-24 10:21:01,2024-10-24 10:23:12,Survey Preview,100,131,True,2024-10-24 10:23:13,R_2LUUAA4GXINvEaJ,preview,EN-GB,I accept,test,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,,
2024-10-24 10:27:32,2024-10-24 10:27:51,Survey Preview,100,18,True,2024-10-24 10:27:52,R_23l6B19XYSOkFYB,preview,EN-GB,I accept,test,,,,,,,,,,,,,,,,,,,
2024-10-24 10:30:17,2024-10-24 10:31:10,Survey Preview,100,52,True,2024-10-24 10:31:10,R_2YhowXcavbs1InT,preview,EN-GB,I accept,test,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,,
2024-10-24 11:09:28,2024-10-24 11:09:52,Survey Preview,100,23,True,2024-10-24 11:09:53,R_2cM1P3jEidZKblf,preview,EN-GB,I accept,,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,
2024-10-24 11:10:18,2024-10-24 11:10:41,Survey Preview,100,22,True,2024-10-24 11:10:42,R_2qga4cxAvdkcYwN,preview,EN-GB,I accept,test,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,
2024-10-24 11:40:44,2024-10-24 11:41:10,Survey Preview,100,25,True,2024-10-24 11:41:10,R_24ctnQjbPq8C9zZ,preview,EN-GB,I accept,,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,
