"","sim_id","true_envy","fit_envy","true_guilt","fit_guilt","true_temp","fit_temp","true_sensitivity","fit_sensitivity","true_alpha_MF","fit_alpha_MF","true_alpha_MB","fit_alpha_MB","true_w","fit_w","true_k","fit_k","nll"
"envy",1,1.52403901449172,0.01,0.378982300488278,0.48679673066538,3.86905016500969,0.1,1.07997759426711,0.0169168657013294,0.90571554067079,0.850062768722561,0.191590513056144,0.0172251855389714,0.282218417385593,0.114896936961815,3,1,4.00389401200744e-08
"envy1",2,1.17904812036315,0.01,0.429229014469311,0.01,4.75296808264684,0.1,1.4209854278923,2,0.415039299926721,0.945747675927642,0.0279968020459637,0.99,0.566734082764015,1,1,2,0
"envy2",3,1.15511698302114,0.01,0.48743533235509,0.01,2.88982817479409,0.1,0.296863107050303,0.0436163133056062,0.152794587323442,0.01,0.414037450733595,0.99,0.6830102824606,1,3,1,6.1572968945806e-12
"envy3",4,0.097493584449403,0.01,0.378436165307649,0.01,4.81681517292745,0.1,1.29440075630322,1.25819807192636,0.0700373620400205,0.01,0.411747009921819,0.99,0.425905134063214,1,3,1,0
"envy4",5,1.90797966298414,0.01,0.225011945122387,0.555628290074416,2.08756380693521,0.1,1.25507994774496,2,0.625836707730778,0.99,0.331673890911043,0.27869357957061,0.138909491943195,0,3,1,0.0001308346796656
"envy5",6,1.23851537250914,0.01,0.44389179230202,0.01,0.934808005020022,0.1,1.43301018827828,0.01,0.742830817713402,0.99,0.837036413960159,0.99,0.534759046975523,0,3,1,3.0786484472903e-12
"envy6",7,1.465167785089,5.00641364716364,0.023802136965096,0.01,0.322035211557522,0.1,0.842644609122071,1.43557750941617,0.640963202086277,0.99,0.225397909884341,0.99,0.833442652830854,1,1,2,0
"envy7",8,0.732021743434016,0.945095266783868,0.946165927664842,0.00999999999999999,2.83576280595735,1.47286252001173,1.03019569027005,1.31674821041741,0.938816230273806,0.190690372101512,0.117605563653633,0.99,0.818907550536096,1,2,2,1.20305765391576e-09
"envy8",9,1.128469264179,0.01,0.555182860684581,0.01,3.00258989951108,0.1,1.45834759681718,0.01,0.636146778920665,0.99,0.612161161541007,0.01,0.0524168505799025,0,3,1,7.6982864527538e-13
"envy9",10,0.627861775592901,0.01,0.745014479933307,0.0531203938251045,4.80445184030104,0.617141616047383,0.837447298825718,1.31974943780587,0.521790699115954,0.498493363348035,0.0761693342169747,0.99,0.629841805435717,1,2,2,8.4057427720353e-10
"envy10",11,1.05992261909647,5.40926926926244,0.178567364427727,0.01,2.73913400629535,0.1,0.229881955690216,1.06647746444315,0.611822933699004,0.99,0.544076898447238,0.99,0.22762869251892,1,2,1,0
"envy11",12,0.67949504373828,0.01,0.49960280390922,0.368800516436051,3.786400706321,0.1,0.346433602864854,0.01,0.836759003852494,0.804678636947713,0.323896799259819,0.989963862391207,0.233887216309085,0.510578401552017,3,1,2.0987778204071e-09
"envy12",13,1.08890205931151,0.0379869065771345,0.460637981414329,0.01,0.72261574768927,0.0999999999999999,0.0720566496695392,1.09977313374637,0.172340139769949,0.99,0.792903097430244,0.104905239089584,0.142388037405908,0,3,1,0
"envy13",14,1.86299277949613,0.01,0.395981918391772,0.01,3.75450020846911,0.941038213713103,1.56938090834301,1.57277432224976,0.213307128171436,0.01,0.0653961950121447,0.99,0.331513833720237,1,2,2,1.16622001013184e-09
"envy14",15,1.27257530936273,0.01,0.501780314540956,0.01,4.05668364297599,0.1,1.16855493216543,1.99992924064447,0.178572547310032,0.01,0.928545218827203,0.99,0.0538108746986836,1,1,2,0
"envy15",16,1.19244379778625,0.01,0.542516338431742,0.01,3.17249802586157,0.1,0.591027880862821,1.17062688270916,0.565894355531782,0.99,0.98950998280663,0.99,0.920453968457878,1.10291527944041e-13,3,1,7.6982864527538e-13
"envy16",17,1.11678633835632,0.01,0.748052081223577,0.01,1.78174309241585,0.1,0.788568056435324,0.142530654179873,0.355145770581439,0.99,0.620336263314821,0.99,0.160745930159464,0.126095261981567,3,1,0
"envy17",18,0.169355579023249,0.01,0.73161350001581,0.01,3.10892599367071,0.1,1.34508256275905,2,0.300210888241418,0.01,0.363357131718658,0.99,0.631066288566217,1,2,2,0
"envy18",19,0.748413347664755,0.01,0.233649430123623,0.01,0.122572468523867,0.1,1.4217803418776,1.76547321458142,0.692440975876525,0.99,0.0244010524451733,0.99,0.187682691961527,0.250255378856093,1,1,0
"envy19",20,0.852398125599138,0.01,0.311419543062802,0.597702808518133,4.18081203158945,0.1,1.19135854174849,0.498280007997593,0.801052708514035,0.807337049514142,0.298169762240723,0.705984127664709,0.14108522166498,0.377299051560177,1,1,2.2614177222334e-09
"envy20",21,1.42178365887841,0.01,0.255677200194914,0.0100000000000003,3.27471178423148,0.1,0.343343947501853,0.01,0.766944824969396,0.99,0.479755557570606,0.99,0.0603702547959983,4.1793925186054e-15,2,1,4.09916545152607e-12
"envy21",22,1.49863595676608,0.01,0.510617108689621,0.01,1.88668536839541,0.1,0.626543926398735,1.73873810598626,0.362412284505554,0.901768166381766,0.365616817637347,0.99,0.53864918788895,0.175368906643764,2,1,0.000905307788517986
