"participant","envy","guilt","temp","sensitivity","alpha_MF","alpha_MB","w","nll","aic","bic","best_k","approach"
"27i4qdReBcXw8YuEi",2.07034088598745,0.529313927966547,0.1,0.545667161738636,0.322428840904233,0.791025730950651,0.572286902393878,6.03848562938574,28.0769712587715,43.3731553021966,2,"hierarchical"
"2ghfK9aHNeDGySQ3u",1.06168180717595,0.278191571601945,2.43705543183711,0.53371177692223,0.256073177238668,0.919357597395103,0.642767292537643,7.15190744292737,30.3038148858547,45.1049956995352,2,"hierarchical"
"2j73t2yQ64ngLzJyz",0.01,0.249657324683222,3.66487298188201,0.700382524051149,0.244804147140915,0.99,0.666084760954849,9.50503278767947,35.0100655753589,50.3062496187841,3,"hierarchical"
"3AgtjHpxyrgstBNMZ",1.78840780528049,0.313310281003737,3.17283980470371,0.516501258877814,0.328480694325404,0.421236343457215,0.564178469905488,1.19532858561196,18.3906571712239,33.6868412146491,3,"hierarchical"
"3dbsqfSprGiQhZaLf",1.9470745462376,0.272274406663431,3.15238831928571,0.621779225913931,0.356963956813784,0.501207484174199,0.572555910058932,2.01876079019899,20.037521580398,34.8387023940784,2,"hierarchical"
"3MJxZfkZpopGgv6Xd",1.9215734028616,0.401333519129657,4.47146632020651,0.555729819395446,0.187632017848148,0.99,0.630737433491721,6.73210336408805,29.4642067281761,44.5987691130611,3,"hierarchical"
"3W6oYvY9BWQChF64y",0.112078848435634,0.291879863147613,3.67984145644261,0.607867907479747,0.258834643685363,0.958052380876423,0.634667036186886,8.38619156300885,32.7723831260177,48.0685671694429,3,"hierarchical"
"4pmMPmcSFQvdQzcsy",1.88296534557252,0.224448044394621,3.99310700085043,0.662234846740273,0.115144858929935,0.99,0.65599867372126,7.72858577594629,31.4571715518926,46.5917339367776,2,"hierarchical"
"4RkttSpAP5oejHxwQ",1.35913004111495,0.255096375832265,3.38705942782608,0.51866004487764,0.270194405590516,0.943896658925826,0.624282853841258,6.55074388858292,29.1014877771658,44.071095864429,3,"hierarchical"
"53Gh5MSB7kKWYXdcA",1.69458043305433,0.404959152136964,3.46234601197798,0.561148970280974,0.272821318211225,0.954705739967425,0.671555030785097,6.66226614992173,29.3245322998435,44.4590946847285,2,"hierarchical"
"5fZ9mbFkp2dCyZLvL",1.24693568722988,0.297457075773658,3.72098225405327,0.584573642025633,0.273677285992965,0.99,0.609373123584923,7.26012228363469,30.5202445672694,45.6548069521544,3,"hierarchical"
"5LACqtjfXnavP6M8A",1.99248631251809,0.365182432708064,3.82289178942445,0.54850115986253,0.296054981146917,0.957098257998032,0.588188096189103,6.04058135775489,28.0811627155098,42.1707636410583,3,"hierarchical"
"6G7Mori9G4LFJsArQ",2.00000174719691,0.384978012377915,4.49212684591896,0.525340080293578,0.240485257800253,0.975862476617347,0.591733452330626,6.13622460017574,28.2724492003515,43.2420572876146,3,"hierarchical"
"6j4uzW8HNrFcpQSNA",1.9601102409787,0.30365109085856,3.61131298726243,0.542351369216266,0.279870093189658,0.985442209070931,0.606564371890908,6.75716387804729,29.5143277560946,44.4839358433577,2,"hierarchical"
"6Ru8t52bsqgyANH78",1.67080872340142,0.328621402733436,3.97072081784612,0.552538784241197,0.282219828135454,0.940492944815064,0.597852490798929,6.03814707921946,28.0762941584389,42.349811229785,3,"hierarchical"
