"participant","k","alpha_b1","alpha_b2","alpha_tr_g1","beta_g1","alpha_tr_g2","beta_g2","nll","convergence","error","fit_timestamp","max_k"
"27i4qdReBcXw8YuEi",0,0,0,0.5,0,0.5,0,89.5879734614027,TRUE,NA,"2025-01-22 12:49:00",3
"2ghfK9aHNeDGySQ3u",3,1.0996092987801,-0.505889235450787,0.110154773155022,0.107413428695655,0.48544038256643,0.145919229225237,73.4231698152891,TRUE,NA,"2025-01-22 12:49:00",3
"2j73t2yQ64ngLzJyz",2,0.21065379532888,1.11155063059868,0.0572199070214979,0.00822823517463691,0,0,89.5181183715516,TRUE,NA,"2025-01-22 12:49:00",3
"3AgtjHpxyrgstBNMZ",0,0,0,0.5,0,0.5,0,89.5879734614027,TRUE,NA,"2025-01-22 12:49:00",3
"3dbsqfSprGiQhZaLf",2,3.19672276415829,-0.228664497753307,0.072376408047172,0.590095049440606,5,5,20.5555528445267,TRUE,NA,"2025-01-22 12:49:00",3
"3MJxZfkZpopGgv6Xd",2,1.33135630248053,5,0,0.184129217473282,0.0215455578334134,3.1213545063267,37.3404394434061,TRUE,NA,"2025-01-22 12:49:00",3
"3W6oYvY9BWQChF64y",0,0,0,0.5,0,0.5,0,89.5879734614027,TRUE,NA,"2025-01-22 12:49:00",3
"4pmMPmcSFQvdQzcsy",2,0.400761749928425,-0.350306401027966,0.0913840941663894,0.0130298735789443,0.00750892115320947,0.0728535375150233,85.63160915076,TRUE,NA,"2025-01-22 12:49:00",3
"4RkttSpAP5oejHxwQ",1,-4.54313551902438,5,0,0.113551946079329,0,0.0249726630848205,87.3042118628423,TRUE,NA,"2025-01-22 12:49:00",3
"53Gh5MSB7kKWYXdcA",2,0.36298749051194,-0.196718855094223,0.0378190953260266,0.0776027908626508,0.0584850569202409,1.44347757808338,48.2075199438776,TRUE,NA,"2025-01-22 12:49:00",3
"5fZ9mbFkp2dCyZLvL",2,4.03665238048208,-0.00852714402858923,0.348946184249871,0.0139083388786598,4.36470964496401,0.0560898909759047,86.4869338885358,TRUE,NA,"2025-01-22 12:49:00",3
"5LACqtjfXnavP6M8A",1,4.74612804277221,-5,0,0.253646824734367,0,0.209953599562183,76.1790061220689,TRUE,NA,"2025-01-22 12:49:00",3
"6G7Mori9G4LFJsArQ",3,5,-3.80111401159426,5,0.214897926320893,0,0.866306857843934,41.1718703848581,TRUE,NA,"2025-01-22 12:49:00",3
"6j4uzW8HNrFcpQSNA",2,-0.79015022302313,0.0784306293592575,0.0613732756167716,0.436654510125261,0.431519336253016,0.150935777818439,57.8205868941265,TRUE,NA,"2025-01-22 12:49:00",3
"6Ru8t52bsqgyANH78",0,0,0,0.5,0.313820135501328,0.5,0.38900508018808,56.8633004634795,TRUE,NA,"2025-01-22 12:49:00",3
"83SwbhmvKbnkpGeok",2,0.647924359129328,1.16209640498514,0.008294593618269,0.179286209668275,0.0645066679138777,0.230551660847404,63.4183671935691,TRUE,NA,"2025-01-22 12:49:00",3
"85QnxjnxoDBHR56h9",3,0.0256614687740397,-0.0120609140441324,0.076567654187036,0.479347404598869,1.33325696653323,0.483592689460244,47.5616381676771,TRUE,NA,"2025-01-22 12:49:00",3
"8R3xo4bmDcubEZPpt",2,0.509315096302861,4.31672410717149,0.0542634421769497,0.188656723171762,0.0352017318153328,0.219580387677062,62.1990475680695,TRUE,NA,"2025-01-22 12:49:00",3
"9NZPdsRHMfTffJ86Z",2,0.463198437378148,-0.377257459278315,0,0.211592390704832,0,0,73.6034895618119,TRUE,NA,"2025-01-22 12:49:00",3
"A7xu5DSWfjo8c3FBA",2,4.99998169154739,4.27421089277631,0.232386564717448,0.223429777230537,0.0125097147275841,0.0701692596967407,73.3169848560698,TRUE,NA,"2025-01-22 12:49:00",3
"a9hGmsRsdt7ZJAeQk",3,-0.125200232898077,0.15932929989049,5,0.0307797920483116,0.0835620431817834,0.0841467610528776,83.084158453514,TRUE,NA,"2025-01-22 12:49:00",3
"Abfu89CDogfCDRrdD",2,0.0327818225396182,0.734493386916514,0.0136659320375393,0.0830744497965793,0.0103253710517316,0.0182803586022634,85.6011566123014,TRUE,NA,"2025-01-22 12:49:00",3
"AhfubTP2TdW5Wm9Tw",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Error in if (p_chosen < 1e-12) p_chosen <- 1e-12: missing value where TRUE/FALSE needed
","2025-01-22 12:49:00",3
"AiXyxQy82SP82Mz9s",2,-0.0340796748918347,5,0.0116839146617211,0.0294039556953144,0,0,88.9743885035058,TRUE,NA,"2025-01-22 12:49:00",3
"akWAen38quSK7Kg4j",2,1.94102214918844,-5,0,0.118021436000564,0.0155553919914251,0.244391301186709,67.6672122390282,TRUE,NA,"2025-01-22 12:49:00",3
"At2dQJ4sv55MyXDs7",1,4.95778264639416,5,0,0.181917107720004,0,0.144831905399088,81.1247948348548,TRUE,NA,"2025-01-22 12:49:00",3
"aYxN6zfrwbrLBL32W",2,-0.0726538924618547,0.0658996507069431,0,0.083447656349126,0.037796466663343,0.0873196077144594,81.4147949802293,TRUE,NA,"2025-01-22 12:49:00",3
"B93AwGvKW9caWEvmu",2,0.127397851673103,5,0.0423620851520574,0.0972393402257622,0,0,84.3993497952577,TRUE,NA,"2025-01-22 12:49:00",3
"BaisKwodTw2aofXty",3,0.177991526750696,-0.112820346872269,0.00489271002561482,0.0813751562582076,0,0.174512705326598,71.7983016806169,TRUE,NA,"2025-01-22 12:49:00",3
"bFMXvE5mC7tDsHNxi",2,0.613676983876325,-0.594499334803035,0.0777281909202887,0.813232353614524,0.0591278496575399,2.4455501700299,20.4705818426711,TRUE,NA,"2025-01-22 12:49:00",3
"BjirnYWmbJDoF5MZC",3,1.66104210503623,-1.64221187459969,0.0834861216332913,0.0145768646512032,0,0,89.3883861546771,TRUE,NA,"2025-01-22 12:49:00",3
"bKhnRtYLu5DDWuY49",0,0,0,0.5,0.156187032110483,0.5,0.15142186400874,74.5694998134302,TRUE,NA,"2025-01-22 12:49:00",3
"bpNrvkZN8ogijjA5K",2,-0.828528925741738,0.827831884096849,0.0171806253058704,0.0834537739423401,0.00464546267058736,0.1069142028741,79.475261568107,TRUE,NA,"2025-01-22 12:49:00",3
"bPrEvXrQaX2WdGYNX",2,0.125101389952091,-0.282790970901283,0.00712255392371695,0.221170131751779,0.0146958085849401,0.458580387824544,55.9370209704956,TRUE,NA,"2025-01-22 12:49:00",3
"BxNfwbHaC9D97He8r",0,0,0,0.5,0.673373334702909,0.5,0.429307223331672,43.8600371144348,TRUE,NA,"2025-01-22 12:49:00",3
"chzK9whS4YsmcwD3y",0,0,0,0.5,0.089959926208115,0.5,0.176585518494504,77.5652385308587,TRUE,NA,"2025-01-22 12:49:00",3
